City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
224,Amapa,BR,1.0,-52.0,80.74,94,100,2.44,moderate rain,1.44,0.0
225,Shache,CN,38.42,77.24,71.78,27,95,3.33,overcast clouds,0.0,0.0
226,Gurupa,BR,-1.41,-51.64,83.14,79,90,3.47,light rain,0.34,0.0
227,Half Moon Bay,US,37.46,-122.43,82.99,82,1,8.05,haze,0.0,0.0
228,Kahului,US,20.89,-156.47,86.0,55,40,20.8,scattered clouds,0.0,0.0
229,Iskateley,RU,67.68,53.15,75.36,70,0,15.48,clear sky,0.0,0.0
230,Lumeje,AO,-11.55,20.78,64.89,36,0,1.99,clear sky,0.0,0.0
231,Touros,BR,-5.2,-35.46,78.8,88,40,8.05,scattered clouds,0.0,0.0
232,Kodinsk,RU,58.69,99.18,49.68,85,4,2.57,clear sky,0.0,0.0
233,Kuytun,RU,54.34,101.5,59.45,90,100,2.19,overcast clouds,0.0,0.0
234,Viedma,AR,-40.81,-63.0,46.02,73,100,23.76,light rain,0.64,0.0
235,Esperance,AU,-33.87,121.9,46.4,93,75,5.82,broken clouds,0.0,0.0
236,Hamilton,US,39.18,-84.53,93.0,66,20,12.75,few clouds,0.0,0.0
237,Firovo,RU,57.48,33.7,49.37,80,0,5.14,clear sky,0.0,0.0
238,Maraba,BR,-5.37,-49.12,95.0,32,15,2.24,few clouds,0.0,0.0
239,Marshall,US,34.38,-86.33,89.01,43,40,3.36,scattered clouds,0.0,0.0
240,Nanortalik,GL,60.14,-45.24,45.45,93,100,12.24,light rain,0.77,0.0
241,Ukiah,US,39.15,-123.21,90.0,25,1,3.36,clear sky,0.0,0.0
242,Margate,GB,51.38,1.39,64.99,66,100,5.99,overcast clouds,0.0,0.0
243,Lavrentiya,RU,65.58,-171.0,49.46,79,2,3.38,clear sky,0.0,0.0
244,Clyde River,CA,70.47,-68.59,51.8,71,75,8.05,light intensity shower rain,0.0,0.0
245,Saint-Orens-De-Gameville,FR,43.55,1.53,86.0,37,39,4.7,scattered clouds,0.0,0.0
246,Moranbah,AU,-22.0,148.05,56.32,98,37,14.03,scattered clouds,0.0,0.0
247,Surin,TH,14.88,103.49,82.0,95,91,8.72,overcast clouds,0.0,0.0
248,Slonim,BY,53.09,25.32,54.91,85,100,6.02,overcast clouds,0.0,0.0
249,Meulaboh,ID,4.14,96.13,76.15,84,97,4.97,overcast clouds,0.0,0.0
250,Tezu,IN,27.92,96.17,75.34,88,100,3.29,heavy intensity rain,12.69,0.0
251,Am Timan,TD,11.03,20.28,73.99,87,100,1.54,overcast clouds,0.0,0.0
252,Sinnamary,GF,5.38,-52.95,81.93,78,65,6.49,light rain,0.36,0.0
253,Te Anau,NZ,-45.42,167.72,36.34,87,87,0.94,overcast clouds,0.0,0.0
254,San Patricio,MX,19.22,-104.7,89.6,70,75,17.22,broken clouds,0.0,0.0
255,Abu Samrah,SY,35.3,37.18,73.71,61,0,11.95,clear sky,0.0,0.0
256,Sherlovaya Gora,RU,50.57,116.25,63.27,65,0,12.86,clear sky,0.0,0.0
257,Ulladulla,AU,-35.35,150.47,48.99,100,100,5.82,overcast clouds,0.0,0.0
258,Cedar City,US,37.68,-113.06,89.6,4,1,16.11,clear sky,0.0,0.0
259,Puerto Colombia,CO,10.99,-74.95,87.8,70,40,5.82,scattered clouds,0.0,0.0
260,Emporia,US,38.4,-96.18,84.2,66,40,9.17,scattered clouds,0.0,0.0
261,Lakatoro,VU,-16.1,167.42,75.2,94,75,3.36,broken clouds,0.0,0.0
262,Alekseyevsk,RU,57.84,108.35,59.9,80,100,3.58,overcast clouds,0.0,0.0
263,Liseleje,DK,56.01,11.95,55.0,25,100,2.08,overcast clouds,0.0,0.0
264,Bhadrak,IN,21.06,86.51,82.65,82,100,7.38,overcast clouds,0.0,0.0
265,Chicama,PE,-7.84,-79.15,71.94,55,3,10.74,clear sky,0.0,0.0
266,Portland,US,45.52,-122.68,71.01,60,75,3.36,broken clouds,0.0,0.0
267,Visnes,NO,59.36,5.22,55.4,62,0,17.22,clear sky,0.0,0.0
268,Allapalli,IN,19.42,80.07,78.84,92,96,3.13,light rain,0.36,0.0
269,Itaquitinga,BR,-7.67,-35.1,82.4,69,75,6.93,broken clouds,0.0,0.0
270,Alpena,US,45.06,-83.43,89.6,55,75,9.17,light rain,0.0,0.0
271,Hede,CN,33.77,120.25,70.95,92,94,4.07,overcast clouds,0.0,0.0
272,Lerwick,GB,60.15,-1.15,51.8,93,3,5.82,clear sky,0.0,0.0
273,Harper,LR,4.38,-7.72,76.71,83,100,11.41,light rain,0.13,0.0
274,Yemelyanovo,RU,56.17,92.68,59.0,87,100,4.05,overcast clouds,0.0,0.0
275,Joshimath,IN,30.57,79.57,68.14,59,98,0.78,light rain,0.34,0.0
276,Tuatapere,NZ,-46.13,167.68,44.47,84,95,7.09,overcast clouds,0.0,0.0
277,Melfort,CA,52.87,-104.62,66.2,72,90,9.17,overcast clouds,0.0,0.0
278,Mehamn,NO,71.04,27.85,46.4,87,90,12.75,overcast clouds,0.0,0.0
